Combinations,Absolute Error,Root Mean Square Error
['H-index'],0.6913701516672339,0.47799268661637406
['Total Docs'],0.6509318865532582,0.4237123209317838
['Total Docs-3yrs'],0.725,0.525625
['Total refs'],0.6575546087066267,0.432378063431325
['Total cites-3yrs'],0.725,0.525625
['Citable Docs-3 yrs'],0.725,0.525625
"['cites,doc 2 yrs']",0.725,0.525625
['ref/docs'],0.725,0.525625
"['SJR', 'H-index']",0.6913701516672339,0.47799268661637406
"['SJR', 'Total Docs']",0.6509318865532582,0.4237123209317838
"['SJR', 'Total Docs-3yrs']",0.725,0.525625
"['SJR', 'Total refs']",0.6575546087066267,0.432378063431325
"['SJR', 'Total cites-3yrs']",0.725,0.525625
"['SJR', 'Citable Docs-3 yrs']",0.725,0.525625
"['SJR', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'ref/docs']",0.725,0.525625
"['H-index', 'Total Docs']",0.6883936979515799,0.47388588337945103
"['H-index', 'Total Docs-3yrs']",0.6896065427570045,0.4755571838132683
"['H-index', 'Total refs']",0.6877107298601695,0.472946047964807
"['H-index', 'Total cites-3yrs']",0.6930045940632146,0.4802553673927208
"['H-index', 'Citable Docs-3 yrs']",0.6892804675970353,0.47510756301078766
"['H-index', 'cites,doc 2 yrs']",0.7204638051657967,0.5190680945539791
"['H-index', 'ref/docs']",0.6974031463099188,0.4863711484829741
"['Total Docs', 'Total Docs-3yrs']",0.7141753411726397,0.5100464179390564
"['Total Docs', 'Total refs']",0.6593493394135759,0.4347415513851189
"['Total Docs', 'Total cites-3yrs']",0.7169152862462053,0.5139675276534784
"['Total Docs', 'Citable Docs-3 yrs']",0.7069150453636565,0.49972888136150045
"['Total Docs', 'cites,doc 2 yrs']",0.7170709207551036,0.5141907053925721
"['Total Docs', 'ref/docs']",0.6866870837436737,0.4715391509803912
"['Total Docs-3yrs', 'Total refs']",0.7489119371464362,0.5608690896004277
"['Total Docs-3yrs', 'Total cites-3yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'ref/docs']",0.725,0.525625
"['Total refs', 'Total cites-3yrs']",0.7385893240843305,0.5455141896513482
"['Total refs', 'Citable Docs-3 yrs']",0.7452503326899875,0.555398058374537
"['Total refs', 'cites,doc 2 yrs']",0.7189945338942293,0.5169531397697801
"['Total refs', 'ref/docs']",0.6918548244203588,0.47866309807372553
"['Total cites-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['Total cites-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total cites-3yrs', 'ref/docs']",0.725,0.525625
"['Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'H-index', 'Total Docs']",0.6883936979515799,0.47388588337945103
"['SJR', 'H-index', 'Total Docs-3yrs']",0.6896065427570045,0.4755571838132683
"['SJR', 'H-index', 'Total refs']",0.6877107298601695,0.472946047964807
"['SJR', 'H-index', 'Total cites-3yrs']",0.6930045940632146,0.4802553673927208
"['SJR', 'H-index', 'Citable Docs-3 yrs']",0.6892804675970353,0.47510756301078766
"['SJR', 'H-index', 'cites,doc 2 yrs']",0.7204638051657967,0.5190680945539791
"['SJR', 'H-index', 'ref/docs']",0.6974031463099188,0.4863711484829741
"['SJR', 'Total Docs', 'Total Docs-3yrs']",0.7141753411726397,0.5100464179390564
"['SJR', 'Total Docs', 'Total refs']",0.6593493394135759,0.4347415513851189
"['SJR', 'Total Docs', 'Total cites-3yrs']",0.7169152862462053,0.5139675276534784
"['SJR', 'Total Docs', 'Citable Docs-3 yrs']",0.7069150453636565,0.49972888136150045
"['SJR', 'Total Docs', 'cites,doc 2 yrs']",0.7170709207551036,0.5141907053925721
"['SJR', 'Total Docs', 'ref/docs']",0.6866870837436737,0.4715391509803912
"['SJR', 'Total Docs-3yrs', 'Total refs']",0.7489119371464362,0.5608690896004277
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total refs', 'Total cites-3yrs']",0.7385893240843305,0.5455141896513482
"['SJR', 'Total refs', 'Citable Docs-3 yrs']",0.7452503326899875,0.555398058374537
"['SJR', 'Total refs', 'cites,doc 2 yrs']",0.7189945338942293,0.5169531397697801
"['SJR', 'Total refs', 'ref/docs']",0.6918548244203588,0.47866309807372553
"['SJR', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.725,0.525625
"['SJR', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total cites-3yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['H-index', 'Total Docs', 'Total Docs-3yrs']",0.6600645896892404,0.4356852625616253
"['H-index', 'Total Docs', 'Total refs']",0.6877307313380839,0.4729735588268158
"['H-index', 'Total Docs', 'Total cites-3yrs']",0.6944970524727261,0.48232615589330446
"['H-index', 'Total Docs', 'Citable Docs-3 yrs']",0.6561693874405274,0.430558265014077
"['H-index', 'Total Docs', 'cites,doc 2 yrs']",0.7173938596040444,0.5146539497975874
"['H-index', 'Total Docs', 'ref/docs']",0.6953370524689347,0.4834936165361861
"['H-index', 'Total Docs-3yrs', 'Total refs']",0.6611398315257518,0.43710587682989954
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs']",0.691257922362444,0.47783751522884266
"['H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.6908448752486656,0.4772666416573443
"['H-index', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7214315198171565,0.5204634377856923
"['H-index', 'Total Docs-3yrs', 'ref/docs']",0.6955435367756265,0.48378081155034736
"['H-index', 'Total refs', 'Total cites-3yrs']",0.6932894238825803,0.4806502252674401
"['H-index', 'Total refs', 'Citable Docs-3 yrs']",0.6569652813180098,0.43160338085725175
"['H-index', 'Total refs', 'cites,doc 2 yrs']",0.7183447863719183,0.516019232107717
"['H-index', 'Total refs', 'ref/docs']",0.6942647553148165,0.48200355047234195
"['H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6912449641226481,0.4778196004249211
"['H-index', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7205955197672897,0.5192579031086905
"['H-index', 'Total cites-3yrs', 'ref/docs']",0.7008414940600064,0.491178799796262
"['H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7213528781150326,0.520349974764841
"['H-index', 'Citable Docs-3 yrs', 'ref/docs']",0.6952454644065336,0.4833662557778565
"['H-index', 'cites,doc 2 yrs', 'ref/docs']",0.723931194273309,0.5240763740419795
"['Total Docs', 'Total Docs-3yrs', 'Total refs']",0.7284419159094866,0.5306276248538835
